Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/GAMEBOY/Game Boy Color Manuals/007 - The World is Not Enough.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2F007%20-%20The%20World%20is%20Not%20Enough.pdf,3841525,27f46cecf5487339fc7e769a1f85f8b1,,,007 - The World is Not Enough.pdf
docs/GAMEBOY/Game Boy Color Manuals/10 Pin Bowling.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2F10%20Pin%20Bowling.pdf,2270056,fda5cdf4c4b2314e7cb8df495b4eaa44,,,10 Pin Bowling.pdf
docs/GAMEBOY/Game Boy Color Manuals/102 Dalmatians - Puppies to the Rescue.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2F102%20Dalmatians%20-%20Puppies%20to%20the%20Rescue.pdf,3739208,01e807ca727189460ff8e88354a32aea,,,102 Dalmatians - Puppies to the Rescue.pdf
docs/GAMEBOY/Game Boy Color Manuals/720 Degrees.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2F720%20Degrees.pdf,2195954,54b26224373a89575439d97e2b4876e1,,,720 Degrees.pdf
docs/GAMEBOY/Game Boy Color Manuals/Action Man - Search for Base X.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FAction%20Man%20-%20Search%20for%20Base%20X.pdf,2389301,19f0d8a2cf0b7c407b0ed537e52e1f46,,,Action Man - Search for Base X.pdf
docs/GAMEBOY/Game Boy Color Manuals/All-Star Baseball 2000.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FAll-Star%20Baseball%202000.pdf,3915695,4cd9ad4e451b388b8a31d87355ff1f66,,,All-Star Baseball 2000.pdf
docs/GAMEBOY/Game Boy Color Manuals/All-Star Baseball 2001.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FAll-Star%20Baseball%202001.pdf,4448942,d9b34967fa09d639cd0e940272596f04,,,All-Star Baseball 2001.pdf
docs/GAMEBOY/Game Boy Color Manuals/Animorphs.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FAnimorphs.pdf,4669905,1ebf8abf227cc3bc5fba672a48b8526c,,,Animorphs.pdf
docs/GAMEBOY/Game Boy Color Manuals/Antz Racing.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FAntz%20Racing.pdf,2225116,e35716523da66aa12e9576015f24d549,,,Antz Racing.pdf
docs/GAMEBOY/Game Boy Color Manuals/Antz.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FAntz.pdf,4938411,10ff38dc9a6596b024f44d863e8c7486,,,Antz.pdf
docs/GAMEBOY/Game Boy Color Manuals/Armorines - Project S.W.A.R.M..pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FArmorines%20-%20Project%20S.W.A.R.M..pdf,2194440,c86325e1204d9c5f72587b2e7ad70346,,,Armorines - Project S.W.A.R.M..pdf
docs/GAMEBOY/Game Boy Color Manuals/Army Men - Air Combat.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FArmy%20Men%20-%20Air%20Combat.pdf,4498106,c75401db7df72acfb2fd8788e540da18,,,Army Men - Air Combat.pdf
docs/GAMEBOY/Game Boy Color Manuals/Army Men - Sarge's Heroes 2.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FArmy%20Men%20-%20Sarge_s%20Heroes%202.pdf,4801316,bac22cf767fc457f4712d448028882e3,,,Army Men - Sarge_s Heroes 2.pdf
docs/GAMEBOY/Game Boy Color Manuals/Army Men 2.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FArmy%20Men%202.pdf,4092480,5dfbc2f6fd166a0d42fbd4d273917e89,,,Army Men 2.pdf
docs/GAMEBOY/Game Boy Color Manuals/Army Men.pdf,https://archive.org/download/mister-manuals/1998_Nintendo%20Game%20Boy%20Color.zip/1998_Nintendo%20Game%20Boy%20Color%2FArmy%20Men.pdf,5398104,f260fe7ec9eb6de6199feb6ab08e2db5,,,Army Men.pdf
